"G_ID","group","clusters","x","y","link","geometry"
"G3_01",3,1,90.3751986976805,23.7351525524653,"https://www.google.com/maps/search/?api=1&query=23.73515255,90.37519869",c(90.3751986976805, 23.7351525524653)
"G3_02",3,1,90.3800289255133,23.7435716278484,"https://www.google.com/maps/search/?api=1&query=23.74357162,90.38002892",c(90.3800289255133, 23.7435716278484)
"G3_03",3,1,90.3879695409538,23.7381785422802,"https://www.google.com/maps/search/?api=1&query=23.73817854,90.38796954",c(90.3879695409538, 23.7381785422802)
"G3_04",3,1,90.3716493732855,23.7383606049629,"https://www.google.com/maps/search/?api=1&query=23.73836060,90.37164937",c(90.3716493732855, 23.7383606049629)
"G3_05",3,1,90.3755494231535,23.7442001299309,"https://www.google.com/maps/search/?api=1&query=23.74420012,90.37554942",c(90.3755494231535, 23.7442001299309)
"G3_06",3,1,90.3730834943242,23.7432711870819,"https://www.google.com/maps/search/?api=1&query=23.74327118,90.37308349",c(90.3730834943242, 23.7432711870819)
"G3_07",3,1,90.3809189715135,23.7372348776638,"https://www.google.com/maps/search/?api=1&query=23.73723487,90.38091897",c(90.3809189715135, 23.7372348776638)
"G3_08",3,1,90.3779523888442,23.742927557793,"https://www.google.com/maps/search/?api=1&query=23.74292755,90.37795238",c(90.3779523888442, 23.742927557793)
"G3_09",3,1,90.3760886406322,23.7400020955192,"https://www.google.com/maps/search/?api=1&query=23.74000209,90.37608864",c(90.3760886406322, 23.7400020955192)
"G3_10",3,1,90.3743002440755,23.7465383815406,"https://www.google.com/maps/search/?api=1&query=23.74653838,90.37430024",c(90.3743002440755, 23.7465383815406)
"G3_11",3,1,90.3800723206521,23.7394494912523,"https://www.google.com/maps/search/?api=1&query=23.73944949,90.38007232",c(90.3800723206521, 23.7394494912523)
"G3_12",3,1,90.3817615662636,23.7413690332221,"https://www.google.com/maps/search/?api=1&query=23.74136903,90.38176156",c(90.3817615662636, 23.7413690332221)
"G3_13",3,1,90.3785283982003,23.7353038044035,"https://www.google.com/maps/search/?api=1&query=23.73530380,90.37852839",c(90.3785283982003, 23.7353038044035)
"G3_14",3,1,90.3853841874846,23.7397832330813,"https://www.google.com/maps/search/?api=1&query=23.73978323,90.38538418",c(90.3853841874846, 23.7397832330813)
"G3_15",3,2,90.3728425087644,23.72633733455,"https://www.google.com/maps/search/?api=1&query=23.72633733,90.37284250",c(90.3728425087644, 23.72633733455)
"G3_16",3,2,90.3772542027582,23.7314948129607,"https://www.google.com/maps/search/?api=1&query=23.73149481,90.37725420",c(90.3772542027582, 23.7314948129607)
"G3_17",3,2,90.3781111993848,23.7308306745679,"https://www.google.com/maps/search/?api=1&query=23.73083067,90.37811119",c(90.3781111993848, 23.7308306745679)
"G3_18",3,2,90.3715831332944,23.7265023205751,"https://www.google.com/maps/search/?api=1&query=23.72650232,90.37158313",c(90.3715831332944, 23.7265023205751)
"G3_19",3,2,90.3720329432857,23.7289365251327,"https://www.google.com/maps/search/?api=1&query=23.72893652,90.37203294",c(90.3720329432857, 23.7289365251327)
"G3_20",3,2,90.3710940843113,23.7276501135986,"https://www.google.com/maps/search/?api=1&query=23.72765011,90.37109408",c(90.3710940843113, 23.7276501135986)
"G3_21",3,2,90.3692138141479,23.7302208236244,"https://www.google.com/maps/search/?api=1&query=23.73022082,90.36921381",c(90.3692138141479, 23.7302208236244)
"G3_22",3,2,90.3720497668785,23.7338424120404,"https://www.google.com/maps/search/?api=1&query=23.73384241,90.37204976",c(90.3720497668785, 23.7338424120404)
"G3_23",3,2,90.3766280198707,23.7254570033654,"https://www.google.com/maps/search/?api=1&query=23.72545700,90.37662801",c(90.3766280198707, 23.7254570033654)
"G3_24",3,2,90.369316938758,23.7231297614948,"https://www.google.com/maps/search/?api=1&query=23.72312976,90.36931693",c(90.369316938758, 23.7231297614948)
"G3_25",3,2,90.3738275417887,23.7251178824393,"https://www.google.com/maps/search/?api=1&query=23.72511788,90.37382754",c(90.3738275417887, 23.7251178824393)
"G3_26",3,3,90.3672201148567,23.7390035626198,"https://www.google.com/maps/search/?api=1&query=23.73900356,90.36722011",c(90.3672201148567, 23.7390035626198)
